id,city,base_fare,charge_per_km,charge_per_min,night_charge,night_start_time,night_end_time,booking_fee,surge_boost_multiplier,,,
57,Tiruchirappalli,25,7,1,1.5,22,5,5,1,,,
58,Bhubaneswar,25,7,1,1.5,22,5,5,1,,,
59,Salem,25,7,1,1.5,22,5,5,1,,,
60,Mira and Bhayander,25,7,1,1.5,22,5,5,1,,,
61,Thiruvananthapuram,25,7,1,1.5,22,5,5,1,,,
62,Bhiwandi,25,7,1,1.5,22,5,5,1,,,
63,Saharanpur,25,7,1,1.5,22,5,5,1,,,
64,Gorakhpur,25,7,1,1.5,22,5,5,1,,,
65,Guntur,25,7,1,1.5,22,5,5,1,,,
66,Amravati,25,7,1,1.5,22,5,5,1,,,
67,Bikaner,25,7,1,1.5,22,5,5,1,,,
68,Noida,25,7,1,1.5,22,5,5,1,,,
69,Jamshedpur,25,7,1,1.5,22,5,5,1,,,
70,Bhilai Nagar,25,7,1,1.5,22,5,5,1,,,
71,Warangal,25,7,1,1.5,22,5,5,1,,,
72,Cuttack,25,7,1,1.5,22,5,5,1,,,
73,Firozabad,25,7,1,1.5,22,5,5,1,,,
74,Kochi,25,7,1,1.5,22,5,5,1,,,
75,Bhavnagar,25,7,1,1.5,22,5,5,1,,,
76,Dehradun,25,7,1,1.5,22,5,5,1,,,
77,Durgapur,25,7,1,1.5,22,5,5,1,,,
78,Asansol,25,7,1,1.5,22,5,5,1,,,
79,Nanded Waghala,25,7,1,1.5,22,5,5,1,,,
80,Kolapur,25,7,1,1.5,22,5,5,1,,,
81,Ajmer,25,7,1,1.5,22,5,5,1,,,
82,Gulbarga,25,7,1,1.5,22,5,5,1,,,
83,Loni,25,7,1,1.5,22,5,5,1,,,
84,Ujjain,25,7,1,1.5,22,5,5,1,,,
85,Siliguri,25,7,1,1.5,22,5,5,1,,,
86,Ulhasnagar,25,7,1,1.5,22,5,5,1,,,
87,Jhansi,25,7,1,1.5,22,5,5,1,,,
88,Sangli Miraj Kupwad,25,7,1,1.5,22,5,5,1,,,
89,Jammu,25,7,1,1.5,22,5,5,1,,,
90,Nellore,25,7,1,1.5,22,5,5,1,,,
91,Mangalore,25,7,1,1.5,22,5,5,1,,,
92,Belgaum,25,7,1,1.5,22,5,5,1,,,
93,Jamnagar,25,7,1,1.5,22,5,5,1,,,
94,Tirunelveli,25,7,1,1.5,22,5,5,1,,,
95,Malegaon,25,7,1,1.5,22,5,5,1,,,
96,Gaya,25,7,1,1.5,22,5,5,1,,,
97,Ambattur,25,7,1,1.5,22,5,5,1,,,
98,Jalgaon,25,7,1,1.5,22,5,5,1,,,
99,Udaipur,25,7,1,1.5,22,5,5,1,,,
100,Maheshtala,25,7,1,1.5,22,5,5,1,,,
101,Tiruppur,25,7,1,1.5,22,5,5,1,,,
102,Davanagere,25,7,1,1.5,22,5,5,1,,,
103,Kozhikode,25,7,1,1.5,22,5,5,1,,,
104,Kurnool,25,7,1,1.5,22,5,5,1,,,
105,Akola,25,7,1,1.5,22,5,5,1,,,
106,Rajpur Sonarpur,25,7,1,1.5,22,5,5,1,,,
107,Bokaro Steel,25,7,1,1.5,22,5,5,1,,,
108,Bellary,25,7,1,1.5,22,5,5,1,,,
109,Patiala,25,7,1,1.5,22,5,5,1,,,
110,South Dum Dum,25,7,1,1.5,22,5,5,1,,,
111,Rajarhat Gopalpur,25,7,1,1.5,22,5,5,1,,,
112,Bhagalpur,25,7,1,1.5,22,5,5,1,,,
113,Agartala,25,7,1,1.5,22,5,5,1,,,
114,Muzaffarnagar,25,7,1,1.5,22,5,5,1,,,
115,Bhatpara,25,7,1,1.5,22,5,5,1,,,
116,Latur,25,7,1,1.5,22,5,5,1,,,
117,Panihati,25,7,1,1.5,22,5,5,1,,,
118,Dhule,25,7,1,1.5,22,5,5,1,,,
119,Rohtak,25,7,1,1.5,22,5,5,1,,,
120,Korba,25,7,1,1.5,22,5,5,1,,,
121,Bhilwara,25,7,1,1.5,22,5,5,1,,,
122,Brahmapur Town,25,7,1,1.5,22,5,5,1,,,
123,Muzaffarpur,25,7,1,1.5,22,5,5,1,,,
124,Ahmadnagar,25,7,1,1.5,22,5,5,1,,,
125,Mathura,25,7,1,1.5,22,5,5,1,,,
126,Kollam,25,7,1,1.5,22,5,5,1,,,
127,Avadi,25,7,1,1.5,22,5,5,1,,,
128,Kadapa,25,7,1,1.5,22,5,5,1,,,
129,Rajahmundry,25,7,1,1.5,22,5,5,1,,,
130,Bilaspur,25,7,1,1.5,22,5,5,1,,,
131,Kamarhati,25,7,1,1.5,22,5,5,1,,,
132,Shahjahanpur,25,7,1,1.5,22,5,5,1,,,
133,Bijapur,25,7,1,1.5,22,5,5,1,,,
134,Rampur,25,7,1,1.5,22,5,5,1,,,
135,Shimoga,25,7,1,1.5,22,5,5,1,,,
136,Chandrapur,25,7,1,1.5,22,5,5,1,,,
137,Junagadh,25,7,1,1.5,22,5,5,1,,,
138,Thrissur,25,7,1,1.5,22,5,5,1,,,
139,Alwar,25,7,1,1.5,22,5,5,1,,,
140,Barddhaman,25,7,1,1.5,22,5,5,1,,,
141,Kulti,25,7,1,1.5,22,5,5,1,,,
142,Kakinada,25,7,1,1.5,22,5,5,1,,,
143,Nizamabad,25,7,1,1.5,22,5,5,1,,,
144,Parbhani,25,7,1,1.5,22,5,5,1,,,
145,Tumkur,25,7,1,1.5,22,5,5,1,,,
146,Hisar,25,7,1,1.5,22,5,5,1,,,
147,Ozhukarai,25,7,1,1.5,22,5,5,1,,,
148,Biharsharif,25,7,1,1.5,22,5,5,1,,,
149,Darbhanga,25,7,1,1.5,22,5,5,1,,,
150,Panipat,25,7,1,1.5,22,5,5,1,,,
151,Aizawl,25,7,1,1.5,22,5,5,1,,,
152,Bally,25,7,1,1.5,22,5,5,1,,,
153,Dewas,25,7,1,1.5,22,5,5,1,,,
154,Tirupati,25,7,1,1.5,22,5,5,1,,,
155,Ichalkaranji,25,7,1,1.5,22,5,5,1,,,
156,Karnal,25,7,1,1.5,22,5,5,1,,,
157,Bathinda,25,7,1,1.5,22,5,5,1,,,
158,Jalna,25,7,1,1.5,22,5,5,1,,,
159,Kirari Suleman Nagar,25,7,1,1.5,22,5,5,1,,,
160,Purnia,25,7,1,1.5,22,5,5,1,,,
161,Satna,25,7,1,1.5,22,5,5,1,,,
162,Maunath Bhanjan,25,7,1,1.5,22,5,5,1,,,
163,Barasat,25,7,1,1.5,22,5,5,1,,,
164,Sonipat,25,7,1,1.5,22,5,5,1,,,
165,Farrukhabad and Fatehgarh,25,7,1,1.5,22,5,5,1,,,
166,Sagar,25,7,1,1.5,22,5,5,1,,,
167,Raurkela,25,7,1,1.5,22,5,5,1,,,
168,Durg,25,7,1,1.5,22,5,5,1,,,
169,Imphal,25,7,1,1.5,22,5,5,1,,,
170,Ratlam,25,7,1,1.5,22,5,5,1,,,
171,Hapur,25,7,1,1.5,22,5,5,1,,,
172,Arrah,25,7,1,1.5,22,5,5,1,,,
173,Karimnagar,25,7,1,1.5,22,5,5,1,,,
174,Anantapur,25,7,1,1.5,22,5,5,1,,,
175,NDMC,25,7,1,1.5,22,5,5,1,,,
176,Etawah,25,7,1,1.5,22,5,5,1,,,
177,Ambernath,25,7,1,1.5,22,5,5,1,,,
178,Bharatpur,25,7,1,1.5,22,5,5,1,,,
179,Begusarai,25,7,1,1.5,22,5,5,1,,,
180,Tiruvottiyur,25,7,1,1.5,22,5,5,1,,,
181,North Dum Dum,25,7,1,1.5,22,5,5,1,,,
182,Gandhidham,25,7,1,1.5,22,5,5,1,,,
183,Baranagar,25,7,1,1.5,22,5,5,1,,,
184,Puducherry,25,7,1,1.5,22,5,5,1,,,
185,Thoothukkudi,25,7,1,1.5,22,5,5,1,,,
186,Sikar,25,7,1,1.5,22,5,5,1,,,
187,Rewa,25,7,1,1.5,22,5,5,1,,,
188,Mirzapur and Vindhyachal,25,7,1,1.5,22,5,5,1,,,
189,Raichur,25,7,1,1.5,22,5,5,1,,,
190,Pali,25,7,1,1.5,22,5,5,1,,,
191,Ramagundam,25,7,1,1.5,22,5,5,1,,,
192,Hardwar,25,7,1,1.5,22,5,5,1,,,
193,Vizianagaram,25,7,1,1.5,22,5,5,1,,,
194,Katihar,25,7,1,1.5,22,5,5,1,,,
195,Nagercoil,25,7,1,1.5,22,5,5,1,,,
196,Ganganagar,25,7,1,1.5,22,5,5,1,,,
197,Karawal Nagar,25,7,1,1.5,22,5,5,1,,,
198,Mango,25,7,1,1.5,22,5,5,1,,,
199,Thanjavur,25,7,1,1.5,22,5,5,1,,,
200,Bulandshahr,25,7,1,1.5,22,5,5,1,,,
201,Uluberia,25,7,1,1.5,22,5,5,1,,,
202,Murwara,25,7,1,1.5,22,5,5,1,,,
203,Sambhal,25,7,1,1.5,22,5,5,1,,,
204,Singrauli,25,7,1,1.5,22,5,5,1,,,
205,Nadiad,25,7,1,1.5,22,5,5,1,,,
206,Secunderabad,25,7,1,1.5,22,5,5,1,,,
207,Naihati,25,7,1,1.5,22,5,5,1,,,
208,Yamunanagar,25,7,1,1.5,22,5,5,1,,,
209,Bidhan Nagar,25,7,1,1.5,22,5,5,1,,,
210,Pallavaram,25,7,1,1.5,22,5,5,1,,,
211,Bidar,25,7,1,1.5,22,5,5,1,,,
212,Munger,25,7,1,1.5,22,5,5,1,,,
213,Panchkula,25,7,1,1.5,22,5,5,1,,,
214,Burhanpur,25,7,1,1.5,22,5,5,1,,,
215,Raurkela Industrial Township,25,7,1,1.5,22,5,5,1,,,
216,Kharagpur,25,7,1,1.5,22,5,5,1,,,
217,Dindigul,25,7,1,1.5,22,5,5,1,,,
218,Gandhinagar,25,7,1,1.5,22,5,5,1,,,
219,Hospet,25,7,1,1.5,22,5,5,1,,,
220,Nangloi Jat,25,7,1,1.5,22,5,5,1,,,
221,English Bazar,25,7,1,1.5,22,5,5,1,,,
222,Ongole,25,7,1,1.5,22,5,5,1,,,
223,Eluru,25,7,1,1.5,22,5,5,1,,,
224,Deoghar,25,7,1,1.5,22,5,5,1,,,
225,Chapra,25,7,1,1.5,22,5,5,1,,,
226,Haldia,25,7,1,1.5,22,5,5,1,,,
227,Khandwa,25,7,1,1.5,22,5,5,1,,,
228,Puri Town,25,7,1,1.5,22,5,5,1,,,
229,Nandyal,25,7,1,1.5,22,5,5,1,,,
230,Morena,25,7,1,1.5,22,5,5,1,,,
231,Amroha,25,7,1,1.5,22,5,5,1,,,
232,Anand,25,7,1,1.5,22,5,5,1,,,
233,Bhind,25,7,1,1.5,22,5,5,1,,,
234,Bhalswa Jahangir Pur,25,7,1,1.5,22,5,5,1,,,
235,Madhyamgram,25,7,1,1.5,22,5,5,1,,,
236,Bhiwani,25,7,1,1.5,22,5,5,1,,,
237,Navi Mumbai Panvel Raigad,25,7,1,1.5,22,5,5,1,,,
238,Baharampur,25,7,1,1.5,22,5,5,1,,,
239,Ambala,25,7,1,1.5,22,5,5,1,,,
240,Morvi,25,7,1,1.5,22,5,5,1,,,
241,Fatehpur,25,7,1,1.5,22,5,5,1,,,
242,Rae Bareli,25,7,1,1.5,22,5,5,1,,,
243,Khora,25,7,1,1.5,22,5,5,1,,,
244,Bhusawal,25,7,1,1.5,22,5,5,1,,,
245,Orai,25,7,1,1.5,22,5,5,1,,,
246,Bahraich,25,7,1,1.5,22,5,5,1,,,
247,Vellore,25,7,1,1.5,22,5,5,1,,,
248,Mahesana,25,7,1,1.5,22,5,5,1,,,
249,Khammam,25,7,1,1.5,22,5,5,1,,,
250,Sambalpur,25,7,1,1.5,22,5,5,1,,,
251,Raiganj,25,7,1,1.5,22,5,5,1,,,
252,Sirsa,25,7,1,1.5,22,5,5,1,,,
253,Dinapur Nizamat,25,7,1,1.5,22,5,5,1,,,
254,Serampore,25,7,1,1.5,22,5,5,1,,,
255,Sultan Pur Majra,25,7,1,1.5,22,5,5,1,,,
256,Guna,25,7,1,1.5,22,5,5,1,,,
257,Jaunpur,25,7,1,1.5,22,5,5,1,,,
258,Panvel,25,7,1,1.5,22,5,5,1,,,
259,Shivpuri,25,7,1,1.5,22,5,5,1,,,
260,Surendranagar Dudhrej,25,7,1,1.5,22,5,5,1,,, 
261,Unnao,25,7,1,1.5,22,5,5,1,,,
262,Hugli and Chinsurah,25,7,1,1.5,22,5,5,1,,,
263,Sitapur,25,7,1,1.5,22,5,5,1,,,
264,Hastsal,25,7,1,1.5,22,5,5,1,,,
265,Tambaram,25,7,1,1.5,22,5,5,1,,,
266,Adityapur,25,7,1,1.5,22,5,5,1,,,
267,Badalapur,25,7,1,1.5,22,5,5,1,,,
268,Alappuzha,25,7,1,1.5,22,5,5,1,,,
269,Cuddalore,25,7,1,1.5,22,5,5,1,,,
270,Silchar,25,7,1,1.5,22,5,5,1,,,
271,Gadag and Betigeri,25,7,1,1.5,22,5,5,1,,,
272,Bahadurgarh,25,7,1,1.5,22,5,5,1,,,
273,Machilipatnam,25,7,1,1.5,22,5,5,1,,,
274,Shimla,25,7,1,1.5,22,5,5,1,,,
275,Medinipur,25,7,1,1.5,22,5,5,1,,,
276,Deoli,25,7,1,1.5,22,5,5,1,,,
277,Bharuch,25,7,1,1.5,22,5,5,1,,,
278,Hoshiarpur,25,7,1,1.5,22,5,5,1,,,
279,Jind,25,7,1,1.5,22,5,5,1,,,
280,Chandannagar,25,7,1,1.5,22,5,5,1,,,
281,Adoni,25,7,1,1.5,22,5,5,1,,,
282,Tonk,25,7,1,1.5,22,5,5,1,,,
283,Faizabad,25,7,1,1.5,22,5,5,1,,,
284,Tenali,25,7,1,1.5,22,5,5,1,,,
285,Alandur,25,7,1,1.5,22,5,5,1,,,
286,Kancheepuram,25,7,1,1.5,22,5,5,1,,,
287,Vapi,25,7,1,1.5,22,5,5,1,,,
288,Rajnandgaon,25,7,1,1.5,22,5,5,1,,,
289,Proddatur,25,7,1,1.5,22,5,5,1,,,
290,Navsari,25,7,1,1.5,22,5,5,1,,,
291,Budaun,25,7,1,1.5,22,5,5,1,,,
292,Uttarpara Kotrung,25,7,1,1.5,22,5,5,1,,,
293,Mahbubnagar,25,7,1,1.5,22,5,5,1,,,
294,Erode,25,7,1,1.5,22,5,5,1,,,
295,Batala,25,7,1,1.5,22,5,5,1,,,
296,Saharsa,25,7,1,1.5,22,5,5,1,,,
297,Haldwani and Kathgodam,25,7,1,1.5,22,5,5,1,,,
298,Vidisha,25,7,1,1.5,22,5,5,1,,,
299,Thanesar,25,7,1,1.5,22,5,5,1,,,
300,Kishangarh,25,7,1,1.5,22,5,5,1,,,
301,Dallo Pura,25,7,1,1.5,22,5,5,1,,,
302,Veraval,25,7,1,1.5,22,5,5,1,,,
303,Banda,25,7,1,1.5,22,5,5,1,,,
304,Chittoor,25,7,1,1.5,22,5,5,1,,,
305,Krishnanagar,25,7,1,1.5,22,5,5,1,,,
306,Barrackpur,25,7,1,1.5,22,5,5,1,,,
307,Lakhimpur,25,7,1,1.5,22,5,5,1,,,
308,Santipur,25,7,1,1.5,22,5,5,1,,,
309,Porbandar,25,7,1,1.5,22,5,5,1,,,
310,Hindupur,25,7,1,1.5,22,5,5,1,,,
311,Balurghat,25,7,1,1.5,22,5,5,1,,,
312,Bhadravati,25,7,1,1.5,22,5,5,1,,,
313,Hanumangarh,25,7,1,1.5,22,5,5,1,,,
314,Moga,25,7,1,1.5,22,5,5,1,,,
315,Pathankot,25,7,1,1.5,22,5,5,1,,,
316,Hajipur,25,7,1,1.5,22,5,5,1,,,
317,Sasaram,25,7,1,1.5,22,5,5,1,,,
318,Habra,25,7,1,1.5,22,5,5,1,,,
319,Bid,25,7,1,1.5,22,5,5,1,,,
320,Mohali,25,7,1,1.5,22,5,5,1,,,
321,Burari,25,7,1,1.5,22,5,5,1,,,
322,Beawar,25,7,1,1.5,22,5,5,1,,,
323,Abohar,25,7,1,1.5,22,5,5,1,,,
324,Tiruvannamalai,25,7,1,1.5,22,5,5,1,,,
325,Jamuria,25,7,1,1.5,22,5,5,1,,,
326,Kaithal,25,7,1,1.5,22,5,5,1,,,
327,Godhra,25,7,1,1.5,22,5,5,1,,,
328,Bhuj,25,7,1,1.5,22,5,5,1,,,
329,Robertson Pet,25,7,1,1.5,22,5,5,1,,,
330,Shillong,25,7,1,1.5,22,5,5,1,,,
331,Rewari,25,7,1,1.5,22,5,5,1,,,
332,Hazaribag,25,7,1,1.5,22,5,5,1,,,
333,Bhimavaram,25,7,1,1.5,22,5,5,1,,,
334,Mandsaur,25,7,1,1.5,22,5,5,1,,,
335,Chas,25,7,1,1.5,22,5,5,1,,,
336,Rudrapur,25,7,1,1.5,22,5,5,1,,,
337,Chitradurga,25,7,1,1.5,22,5,5,1,,,
338,Kumbakonam,25,7,1,1.5,22,5,5,1,,,
339,Dibrugarh,25,7,1,1.5,22,5,5,1,,,
340,Kolar,25,7,1,1.5,22,5,5,1,,,
341,Chhindwara,25,7,1,1.5,22,5,5,1,,,
342,Bankura,25,7,1,1.5,22,5,5,1,,,
343,Mandya,25,7,1,1.5,22,5,5,1,,,
344,Dehri,25,7,1,1.5,22,5,5,1,,,
345,Raigarh,25,7,1,1.5,22,5,5,1,,,
346,Madanapalle,25,7,1,1.5,22,5,5,1,,,
347,Nalgonda,25,7,1,1.5,22,5,5,1,,,
348,Hathras,25,7,1,1.5,22,5,5,1,,,
349,Malerkotla,25,7,1,1.5,22,5,5,1,,,
350,Siwan,25,7,1,1.5,22,5,5,1,,,
351,Chhattarpur,25,7,1,1.5,22,5,5,1,,,
352,Hassan,25,7,1,1.5,22,5,5,1,,,
353,Lalitpur,25,7,1,1.5,22,5,5,1,,,
354,Gondiya,25,7,1,1.5,22,5,5,1,,,
355,North Barrackpur,25,7,1,1.5,22,5,5,1,,,
356,Bettiah,25,7,1,1.5,22,5,5,1,,,
357,Palakkad,25,7,1,1.5,22,5,5,1,,,
358,Rajapalayam,25,7,1,1.5,22,5,5,1,,,
359,Botad,25,7,1,1.5,22,5,5,1,,,
360,Modinagar,25,7,1,1.5,22,5,5,1,,,
361,Deoria,25,7,1,1.5,22,5,5,1,,,
362,Raniganj,25,7,1,1.5,22,5,5,1,,,
363,Palwal,25,7,1,1.5,22,5,5,1,,,
364,Khanna,25,7,1,1.5,22,5,5,1,,,
365,Neemuch,25,7,1,1.5,22,5,5,1,,,
366,Pilibhit,25,7,1,1.5,22,5,5,1,,,
367,Mustafabad,25,7,1,1.5,22,5,5,1,,,
368,Hardoi,25,7,1,1.5,22,5,5,1,,,
369,Guntakal,25,7,1,1.5,22,5,5,1,,,
370,Pithampur,25,7,1,1.5,22,5,5,1,,,
371,Motihari,25,7,1,1.5,22,5,5,1,,,
372,Dhaulpur,25,7,1,1.5,22,5,5,1,,,
373,Srikakulam,25,7,1,1.5,22,5,5,1,,,
374,Nabadwip,25,7,1,1.5,22,5,5,1,,,
375,Patan,25,7,1,1.5,22,5,5,1,,,
376,Jagdalpur,25,7,1,1.5,22,5,5,1,,,
377,Udupi,25,7,1,1.5,22,5,5,1,,,
378,Basirhat,25,7,1,1.5,22,5,5,1,,,
379,Damoh,25,7,1,1.5,22,5,5,1,,,
380,Halisahar,25,7,1,1.5,22,5,5,1,,,
381,Jagadhri,25,7,1,1.5,22,5,5,1,,,
382,Rishra,25,7,1,1.5,22,5,5,1,,,
383,Kurichi,25,7,1,1.5,22,5,5,1,,,
384,Dimapur,25,7,1,1.5,22,5,5,1,,,
385,Palanpur,25,7,1,1.5,22,5,5,1,,,
386,Dharmavaram,25,7,1,1.5,22,5,5,1,,,
387,Gokal Pur,25,7,1,1.5,22,5,5,1,,,
388,Kashipur,25,7,1,1.5,22,5,5,1,,,
389,Ashokenagar Kalyangarh,25,7,1,1.5,22,5,5,1,,,
390,Baidyabati,25,7,1,1.5,22,5,5,1,,,
391,Sawai Madhopur,25,7,1,1.5,22,5,5,1,,,
392,Puruliya,25,7,1,1.5,22,5,5,1,,,
393,Mandoli,25,7,1,1.5,22,5,5,1,,,
394,Mainpuri,25,7,1,1.5,22,5,5,1,,,
395,Kanchrapara,25,7,1,1.5,22,5,5,1,,,
396,Satara,25,7,1,1.5,22,5,5,1,,,
397,Churu,25,7,1,1.5,22,5,5,1,,,
398,Madavaram,25,7,1,1.5,22,5,5,1,,,
399,Gangapur,25,7,1,1.5,22,5,5,1,,,
400,Dabgram,25,7,1,1.5,22,5,5,1,,,
401,Darjiling,25,7,1,1.5,22,5,5,1,,,
402,Barshi,25,7,1,1.5,22,5,5,1,,,
403,Etah,25,7,1,1.5,22,5,5,1,,,
404,Jhunjhunun,25,7,1,1.5,22,5,5,1,,,
405,Chikmagalur,25,7,1,1.5,22,5,5,1,,,
406,Jetpur Navagadh,25,7,1,1.5,22,5,5,1,,,
407,Roorkee,25,7,1,1.5,22,5,5,1,,,
408,Gudivada,25,7,1,1.5,22,5,5,1,,,
409,Baleshwar,25,7,1,1.5,22,5,5,1,,,
410,Baran,25,7,1,1.5,22,5,5,1,,,
411,Hoshangabad,25,7,1,1.5,22,5,5,1,,,
412,Nagaon,25,7,1,1.5,22,5,5,1,,,
413,Pudukkottai,25,7,1,1.5,22,5,5,1,,,
414,Adilabad,25,7,1,1.5,22,5,5,1,,,
415,Hosur,25,7,1,1.5,22,5,5,1,,,
416,Muktsar,25,7,1,1.5,22,5,5,1,,,
417,Yavatmal,25,7,1,1.5,22,5,5,1,,,
418,Titagarh,25,7,1,1.5,22,5,5,1,,,
419,Barnala,25,7,1,1.5,22,5,5,1,,,
420,Chittaurgarh,25,7,1,1.5,22,5,5,1,,,
421,Narasaraopet,25,7,1,1.5,22,5,5,1,,,
422,Dum Dum,25,7,1,1.5,22,5,5,1,,,
423,Basti,25,7,1,1.5,22,5,5,1,,,
424,Valsad,25,7,1,1.5,22,5,5,1,,,
425,Ambur,25,7,1,1.5,22,5,5,1,,,
426,Giridih,25,7,1,1.5,22,5,5,1,,,
427,Chandausi,25,7,1,1.5,22,5,5,1,,,
428,Gonda,25,7,1,1.5,22,5,5,1,,,
429,Bally Town,25,7,1,1.5,22,5,5,1,,,
430,Kalol,25,7,1,1.5,22,5,5,1,,,
431,Bagaha,25,7,1,1.5,22,5,5,1,,,
432,Ambikapur,25,7,1,1.5,22,5,5,1,,,
433,Achalpur,25,7,1,1.5,22,5,5,1,,,
434,Gondal,25,7,1,1.5,22,5,5,1,,,
435,Bagalkot,25,7,1,1.5,22,5,5,1,,,
436,Osmanabad,25,7,1,1.5,22,5,5,1,,,
437,Akbarpur,25,7,1,1.5,22,5,5,1,,,
438,Champdani,25,7,1,1.5,22,5,5,1,,,
439,Deesa,25,7,1,1.5,22,5,5,1,,,
440,Khurja,25,7,1,1.5,22,5,5,1,,,
441,Nandurbar,25,7,1,1.5,22,5,5,1,,,
442,Azamgarh,25,7,1,1.5,22,5,5,1,,,
443,Ghazipur,25,7,1,1.5,22,5,5,1,,,
444,Delhi Cantonment,25,7,1,1.5,22,5,5,1,,,
445,Firozpur,25,7,1,1.5,22,5,5,1,,,
446,Baripada,25,7,1,1.5,22,5,5,1,,,
447,Mughalsarai,25,7,1,1.5,22,5,5,1,,,
448,Anantnag,25,7,1,1.5,22,5,5,1,,,
449,Sehore,25,7,1,1.5,22,5,5,1,,,
450,Bongaon,25,7,1,1.5,22,5,5,1,,,
451,Kanpur Cantonment,25,7,1,1.5,22,5,5,1,,,
452,Khardaha,25,7,1,1.5,22,5,5,1,,,
453,Tadpatri,25,7,1,1.5,22,5,5,1,,,
454,Port Blair,25,7,1,1.5,22,5,5,1,,,
455,Sultanpur,25,7,1,1.5,22,5,5,1,,,
456,Bhadrak,25,7,1,1.5,22,5,5,1,,,
457,Shikohabad,25,7,1,1.5,22,5,5,1,,,
458,Jalpaiguri,25,7,1,1.5,22,5,5,1,,,
459,Shamli,25,7,1,1.5,22,5,5,1,,,
460,Karaikkudi,25,7,1,1.5,22,5,5,1,,,
461,Khargone,25,7,1,1.5,22,5,5,1,,,
462,Wardha,25,7,1,1.5,22,5,5,1,,,
463,Ranibennur,25,7,1,1.5,22,5,5,1,,,
464,Kishanganj,25,7,1,1.5,22,5,5,1,,,
465,Neyveli,25,7,1,1.5,22,5,5,1,,,
466,Amreli,25,7,1,1.5,22,5,5,1,,,
467,Suryapet,25,7,1,1.5,22,5,5,1,,,
468,Gangawati,25,7,1,1.5,22,5,5,1,,,
469,Hindaun,25,7,1,1.5,22,5,5,1,,,
470,Jamalpur,25,7,1,1.5,22,5,5,1,,,
